race	age	gender	deaths	icdcode	rate100k
asian	7	M	11	J00-J98	0.661324
asian	7	M	5	K00-K92	0.300602
asian	7	M	4	P00-P96	0.240481
asian	7	M	8	Q00-Q99	0.480963
asian	7	M	65	V01-Y89	3.907821
asian	8	F	6	A00-B99	0.371543
asian	8	F	26	C00-D48	1.610019
asian	8	F	5	D50-D89	0.309619
asian	8	F	5	E00-E88	0.309619
asian	8	F	9	G00-G98	0.557314
asian	8	F	4	I00-I99	0.247695
asian	8	F	7	J00-J98	0.433467
asian	8	F	5	K00-K92	0.309619
asian	8	F	1	P00-P96	0.061924
asian	8	F	13	Q00-Q99	0.805009
asian	8	F	40	V01-Y89	2.476952
asian	8	M	5	A00-B99	0.304614
asian	8	M	38	C00-D48	2.315067
asian	8	M	5	D50-D89	0.304614
asian	8	M	4	E00-E88	0.243691
asian	8	M	13	G00-G98	0.791997
asian	8	M	13	I00-I99	0.791997
asian	8	M	7	J00-J98	0.42646
asian	8	M	1	K00-K92	0.060923
asian	8	M	2	N00-N98	0.121846
asian	8	M	1	P00-P96	0.060923
asian	8	M	7	Q00-Q99	0.42646
asian	8	M	58	V01-Y89	3.533524
asian	9	F	1	A00-B99	0.062337
asian	9	F	32	C00-D48	1.994792
asian	9	F	3	D50-D89	0.187012
asian	9	F	2	E00-E88	0.124675
asian	9	F	1	F01-F99	0.062337
asian	9	F	13	G00-G98	0.810384
asian	9	F	13	I00-I99	0.810384
asian	9	F	8	J00-J98	0.498698
asian	9	F	3	K00-K92	0.187012
asian	9	F	2	M00-M99	0.124675
asian	9	F	1	N00-N98	0.062337
asian	9	F	17	Q00-Q99	1.059733
asian	9	F	50	V01-Y89	3.116863
asian	9	M	5	A00-B99	0.305854
asian	9	M	42	C00-D48	2.569177
asian	9	M	3	D50-D89	0.183513
asian	9	M	3	E00-E88	0.183513
asian	9	M	2	F01-F99	0.122342
asian	9	M	12	G00-G98	0.73405
asian	9	M	13	I00-I99	0.795221
asian	9	M	8	J00-J98	0.489367
asian	9	M	3	K00-K92	0.183513
asian	9	M	1	P00-P96	0.061171
asian	9	M	7	Q00-Q99	0.428196
asian	9	M	51	V01-Y89	3.119714
asian	10	F	2	A00-B99	0.123252
asian	10	F	27	C00-D48	1.663896
asian	10	F	3	D50-D89	0.184877
asian	10	F	5	E00-E88	0.308129
asian	10	F	1	F01-F99	0.061626
asian	10	F	20	G00-G98	1.232515
asian	10	F	17	I00-I99	1.047638
asian	10	F	6	J00-J98	0.369755
asian	10	F	3	K00-K92	0.184877
asian	10	F	1	M00-M99	0.061626
asian	10	F	1	N00-N98	0.061626
asian	10	F	2	P00-P96	0.123252
asian	10	F	9	Q00-Q99	0.554632
asian	10	F	33	V01-Y89	2.03365
asian	10	M	9	A00-B99	0.540855
asian	10	M	41	C00-D48	2.463895
asian	10	M	9	D50-D89	0.540855
asian	10	M	5	E00-E88	0.300475
asian	10	M	1	F01-F99	0.060095
asian	10	M	15	G00-G98	0.901425
asian	10	M	10	I00-I99	0.60095
asian	10	M	7	J00-J98	0.420665
asian	10	M	7	K00-K92	0.420665
asian	10	M	1	M00-M99	0.060095
asian	10	M	1	P00-P96	0.060095
asian	10	M	17	Q00-Q99	1.021615
asian	10	M	55	V01-Y89	3.305225
asian	11	F	3	A00-B99	0.187734
asian	11	F	30	C00-D48	1.877337
asian	11	F	3	D50-D89	0.187734
asian	11	F	6	E00-E88	0.375467
asian	11	F	3	F01-F99	0.187734
asian	11	F	11	G00-G98	0.688357
asian	11	F	11	I00-I99	0.688357
asian	11	F	8	J00-J98	0.500623
asian	11	F	4	K00-K92	0.250312
asian	11	F	3	M00-M99	0.187734
asian	11	F	1	N00-N98	0.062578
asian	11	F	4	P00-P96	0.250312
asian	11	F	5	Q00-Q99	0.31289
asian	11	F	46	V01-Y89	2.878584
asian	11	M	8	A00-B99	0.484134
asian	11	M	38	C00-D48	2.299635
asian	11	M	2	D50-D89	0.121033
asian	11	M	4	E00-E88	0.242067
asian	11	M	1	F01-F99	0.060517
asian	11	M	15	G00-G98	0.907751
asian	11	M	15	I00-I99	0.907751
asian	11	M	8	J00-J98	0.484134
asian	11	M	1	N00-N98	0.060517
asian	11	M	1	P00-P96	0.060517
asian	11	M	16	Q00-Q99	0.968267
asian	11	M	68	V01-Y89	4.115137
asian	12	F	5	A00-B99	0.314083
asian	12	F	35	C00-D48	2.198582
asian	12	F	1	E00-E88	0.062817
asian	12	F	1	F01-F99	0.062817
asian	12	F	14	G00-G98	0.879433
asian	12	F	7	I00-I99	0.439716
asian	12	F	5	J00-J98	0.314083
asian	12	F	6	K00-K92	0.3769
asian	12	F	1	P00-P96	0.062817
asian	12	F	10	Q00-Q99	0.628166
asian	12	F	40	V01-Y89	2.512665
asian	12	M	3	A00-B99	0.181729
asian	12	M	39	C00-D48	2.362477
asian	12	M	4	D50-D89	0.242305
asian	12	M	5	E00-E88	0.302882
asian	12	M	28	G00-G98	1.696137
asian	12	M	11	I00-I99	0.66634
asian	12	M	6	J00-J98	0.363458
asian	12	M	2	K00-K92	0.121153
asian	12	M	2	M00-M99	0.121153
asian	12	M	2	N00-N98	0.121153
asian	12	M	7	Q00-Q99	0.424034
asian	12	M	57	V01-Y89	3.45285
asian	13	F	4	A00-B99	0.252152
asian	13	F	38	C00-D48	2.395447
asian	13	F	2	D50-D89	0.126076
asian	13	F	6	E00-E88	0.378228
asian	13	F	1	F01-F99	0.063038
asian	13	F	12	G00-G98	0.756457
asian	13	F	11	I00-I99	0.693419
asian	13	F	8	J00-J98	0.504305
asian	13	F	4	K00-K92	0.252152
asian	13	F	2	M00-M99	0.126076
asian	13	F	1	P00-P96	0.063038
asian	13	F	10	Q00-Q99	0.630381
asian	13	F	67	V01-Y89	4.223551
asian	13	M	4	A00-B99	0.242917
asian	13	M	44	C00-D48	2.672085
asian	13	M	3	D50-D89	0.182188
asian	13	M	7	E00-E88	0.425104
asian	13	M	14	G00-G98	0.850209
asian	13	M	19	I00-I99	1.153855
asian	13	M	10	J00-J98	0.607292
asian	13	M	2	K00-K92	0.121458
asian	13	M	1	M00-M99	0.060729
asian	13	M	1	P00-P96	0.060729
asian	13	M	8	Q00-Q99	0.485834
asian	13	M	97	V01-Y89	5.890734
asian	14	F	4	A00-B99	0.253857
asian	14	F	28	C00-D48	1.776998
asian	14	F	1	D50-D89	0.063464
asian	14	F	3	F01-F99	0.190393
asian	14	F	9	G00-G98	0.571178
asian	14	F	16	I00-I99	1.015428
asian	14	F	2	J00-J98	0.126928
asian	14	F	4	K00-K92	0.253857
asian	14	F	2	M00-M99	0.126928
asian	14	F	1	P00-P96	0.063464
asian	14	F	14	Q00-Q99	0.888499
asian	14	F	77	V01-Y89	4.886745
asian	14	M	7	A00-B99	0.426143
asian	14	M	44	C00-D48	2.678612
asian	14	M	2	D50-D89	0.121755
asian	14	M	5	E00-E88	0.304388
asian	14	M	24	G00-G98	1.461061
asian	14	M	18	I00-I99	1.095796
asian	14	M	15	J00-J98	0.913163
asian	14	M	4	K00-K92	0.24351
asian	14	M	1	N00-N98	0.060878
asian	14	M	1	P00-P96	0.060878
asian	14	M	11	Q00-Q99	0.669653
asian	14	M	162	V01-Y89	9.862161
asian	15	F	2	A00-B99	0.126483
asian	15	F	38	C00-D48	2.403179
asian	15	F	4	D50-D89	0.252966
asian	15	F	2	E00-E88	0.126483
asian	15	F	7	G00-G98	0.442691
asian	15	F	6	I00-I99	0.379449
asian	15	F	9	J00-J98	0.569174
asian	15	F	1	K00-K92	0.063242
asian	15	F	10	M00-M99	0.632415
asian	15	F	6	Q00-Q99	0.379449
asian	15	F	93	V01-Y89	5.881464
asian	15	M	6	A00-B99	0.362997
asian	15	M	63	C00-D48	3.811474
asian	15	M	2	D50-D89	0.120999
asian	15	M	4	E00-E88	0.241998
asian	15	M	17	G00-G98	1.028493
asian	15	M	15	I00-I99	0.907494
asian	15	M	9	J00-J98	0.544496
asian	15	M	2	K00-K92	0.120999
asian	15	M	2	M00-M99	0.120999
asian	15	M	1	N00-N98	0.0605
asian	15	M	17	Q00-Q99	1.028493
asian	15	M	206	V01-Y89	12.462914
asian	16	F	6	A00-B99	0.375396
asian	16	F	41	C00-D48	2.565206
asian	16	F	8	D50-D89	0.500528
asian	16	F	6	E00-E88	0.375396
asian	16	F	1	F01-F99	0.062566
asian	16	F	13	G00-G98	0.813358
asian	16	F	13	I00-I99	0.813358
asian	16	F	10	J00-J98	0.62566
asian	16	F	2	K00-K92	0.125132
asian	16	F	5	M00-M99	0.31283
asian	16	F	1	N00-N98	0.062566
asian	16	F	11	Q00-Q99	0.688226
asian	16	F	146	V01-Y89	9.134637
asian	16	M	7	A00-B99	0.419247
asian	16	M	52	C00-D48	3.114407
asian	16	M	6	E00-E88	0.359355
asian	16	M	3	F01-F99	0.179677
asian	16	M	18	G00-G98	1.078064
asian	16	M	18	I00-I99	1.078064
asian	16	M	10	J00-J98	0.598924
asian	16	M	4	K00-K92	0.23957
asian	16	M	3	M00-M99	0.179677
asian	16	M	12	Q00-Q99	0.718709
asian	16	M	331	V01-Y89	19.824395
asian	17	F	7	A00-B99	0.434065
asian	17	F	25	C00-D48	1.550233
asian	17	F	3	D50-D89	0.186028
asian	17	F	3	E00-E88	0.186028
asian	17	F	13	G00-G98	0.806121
asian	17	F	18	I00-I99	1.116168
asian	17	F	7	J00-J98	0.434065
asian	17	F	3	K00-K92	0.186028
asian	17	F	5	M00-M99	0.310047
asian	17	F	13	Q00-Q99	0.806121
asian	17	F	173	V01-Y89	10.727611
asian	17	M	11	A00-B99	0.649697
asian	17	M	49	C00-D48	2.894106
asian	17	M	6	D50-D89	0.35438
asian	17	M	10	E00-E88	0.590634
asian	17	M	2	F01-F99	0.118127
asian	17	M	23	G00-G98	1.358458
asian	17	M	31	I00-I99	1.830965
asian	17	M	10	J00-J98	0.590634
asian	17	M	5	K00-K92	0.295317
asian	17	M	1	N00-N98	0.059063
asian	17	M	1	P00-P96	0.059063
asian	17	M	14	Q00-Q99	0.826888
asian	17	M	499	V01-Y89	29.472635
asian	18	F	9	A00-B99	0.535218
asian	18	F	44	C00-D48	2.616619
asian	18	F	5	D50-D89	0.297343
asian	18	F	7	E00-E88	0.41628
asian	18	F	2	F01-F99	0.118937
asian	18	F	15	G00-G98	0.892029
asian	18	F	15	I00-I99	0.892029
asian	18	F	7	J00-J98	0.41628
asian	18	F	2	K00-K92	0.118937
asian	18	F	11	M00-M99	0.654155
asian	18	F	2	N00-N98	0.118937
asian	18	F	13	Q00-Q99	0.773092
asian	18	F	229	V01-Y89	13.618315
asian	18	M	14	A00-B99	0.795978
asian	18	M	67	C00-D48	3.809325
asian	18	M	3	D50-D89	0.170567
asian	18	M	4	E00-E88	0.227422
asian	18	M	1	F01-F99	0.056856
asian	18	M	27	G00-G98	1.535101
asian	18	M	31	I00-I99	1.762523
asian	18	M	13	J00-J98	0.739123
asian	18	M	4	K00-K92	0.227422
asian	18	M	3	M00-M99	0.170567
asian	18	M	3	N00-N98	0.170567
asian	18	M	14	Q00-Q99	0.795978
asian	18	M	667	V01-Y89	37.922679
asian	19	F	8	A00-B99	0.455025
asian	19	F	47	C00-D48	2.673272
asian	19	F	2	D50-D89	0.113756
asian	19	F	5	E00-E88	0.284391
asian	19	F	1	F01-F99	0.056878
asian	19	F	13	G00-G98	0.739416
asian	19	F	22	I00-I99	1.251319
asian	19	F	8	J00-J98	0.455025
asian	19	F	6	K00-K92	0.341269
asian	19	F	13	M00-M99	0.739416
asian	19	F	4	N00-N98	0.227513
asian	19	F	11	Q00-Q99	0.625659
asian	19	F	257	V01-Y89	14.617679
asian	19	M	14	A00-B99	0.763215
asian	19	M	66	C00-D48	3.598015
asian	19	M	1	D50-D89	0.054515
asian	19	M	9	E00-E88	0.490638
asian	19	M	3	F01-F99	0.163546
asian	19	M	23	G00-G98	1.253854
asian	19	M	41	I00-I99	2.23513
asian	19	M	17	J00-J98	0.926761
asian	19	M	2	K00-K92	0.109031
asian	19	M	2	M00-M99	0.109031
asian	19	M	1	N00-N98	0.054515
asian	19	M	15	Q00-Q99	0.817731
asian	19	M	752	V01-Y89	40.99556
asian	20	F	11	A00-B99	0.607606
asian	20	F	50	C00-D48	2.761845
asian	20	F	2	D50-D89	0.110474
asian	20	F	5	E00-E88	0.276185
asian	20	F	2	F01-F99	0.110474
asian	20	F	10	G00-G98	0.552369
asian	20	F	20	I00-I99	1.104738
asian	20	F	9	J00-J98	0.497132
asian	20	F	5	K00-K92	0.276185
asian	20	F	16	M00-M99	0.88379
asian	20	F	2	N00-N98	0.110474
asian	20	F	6	Q00-Q99	0.331421
asian	20	F	243	V01-Y89	13.422567
asian	20	M	13	A00-B99	0.694187
asian	20	M	87	C00-D48	4.645714
asian	20	M	7	D50-D89	0.373793
asian	20	M	7	E00-E88	0.373793
asian	20	M	1	F01-F99	0.053399
asian	20	M	25	G00-G98	1.334975
asian	20	M	37	I00-I99	1.975763
asian	20	M	10	J00-J98	0.53399
asian	20	M	4	K00-K92	0.213596
asian	20	M	4	M00-M99	0.213596
asian	20	M	3	N00-N98	0.160197
asian	20	M	12	Q00-Q99	0.640788
asian	20	M	823	V01-Y89	43.947383
asian	21	F	11	A00-B99	0.590328
asian	21	F	41	C00-D48	2.200314
asian	21	F	3	D50-D89	0.160999
asian	21	F	4	E00-E88	0.214665
asian	21	F	3	F01-F99	0.160999
asian	21	F	17	G00-G98	0.912326
asian	21	F	32	I00-I99	1.717319
asian	21	F	11	J00-J98	0.590328
asian	21	F	4	K00-K92	0.214665
asian	21	F	8	M00-M99	0.42933
asian	21	F	2	N00-N98	0.107332
asian	21	F	9	Q00-Q99	0.482996
asian	21	F	252	V01-Y89	13.523884
asian	21	M	8	A00-B99	0.418323
asian	21	M	83	C00-D48	4.340098
asian	21	M	1	D50-D89	0.05229
asian	21	M	12	E00-E88	0.627484
asian	21	M	7	F01-F99	0.366032
asian	21	M	32	G00-G98	1.673291
asian	21	M	55	I00-I99	2.875969
asian	21	M	19	J00-J98	0.993517
asian	21	M	10	K00-K92	0.522903
asian	21	M	5	M00-M99	0.261452
asian	21	M	5	N00-N98	0.261452
asian	21	M	8	Q00-Q99	0.418323
asian	21	M	842	V01-Y89	44.028469
asian	22	F	7	A00-B99	0.36779
asian	22	F	56	C00-D48	2.942323
asian	22	F	3	D50-D89	0.157624
asian	22	F	6	E00-E88	0.315249
asian	22	F	2	F01-F99	0.105083
asian	22	F	11	G00-G98	0.577956
asian	22	F	29	I00-I99	1.523703
asian	22	F	14	J00-J98	0.735581
asian	22	F	7	K00-K92	0.36779
asian	22	F	10	M00-M99	0.525415
asian	22	F	2	N00-N98	0.105083
asian	22	F	11	Q00-Q99	0.577956
asian	22	F	247	V01-Y89	12.977747
asian	22	M	14	A00-B99	0.719435
asian	22	M	90	C00-D48	4.624938
asian	22	M	2	D50-D89	0.102776
asian	22	M	17	E00-E88	0.873599
asian	22	M	3	F01-F99	0.154165
asian	22	M	32	G00-G98	1.644422
asian	22	M	57	I00-I99	2.929127
asian	22	M	16	J00-J98	0.822211
asian	22	M	5	K00-K92	0.256941
asian	22	M	4	M00-M99	0.205553
asian	22	M	4	N00-N98	0.205553
asian	22	M	17	Q00-Q99	0.873599
asian	22	M	894	V01-Y89	45.941052
asian	23	F	8	A00-B99	0.407015
asian	23	F	58	C00-D48	2.950858
asian	23	F	4	D50-D89	0.203507
asian	23	F	6	E00-E88	0.305261
asian	23	F	3	F01-F99	0.152631
asian	23	F	20	G00-G98	1.017537
asian	23	F	28	I00-I99	1.424552
asian	23	F	12	J00-J98	0.610522
asian	23	F	7	K00-K92	0.356138
asian	23	F	18	M00-M99	0.915784
asian	23	F	3	N00-N98	0.152631
asian	23	F	1	P00-P96	0.050877
asian	23	F	12	Q00-Q99	0.610522
asian	23	F	273	V01-Y89	13.889384
asian	23	M	13	A00-B99	0.655426
asian	23	M	89	C00-D48	4.487149
asian	23	M	3	D50-D89	0.151252
asian	23	M	10	E00-E88	0.504174
asian	23	M	6	F01-F99	0.302504
asian	23	M	22	G00-G98	1.109183
asian	23	M	77	I00-I99	3.88214
asian	23	M	13	J00-J98	0.655426
asian	23	M	10	K00-K92	0.504174
asian	23	M	3	M00-M99	0.151252
asian	23	M	1	P00-P96	0.050417
asian	23	M	16	Q00-Q99	0.806678
asian	23	M	761	V01-Y89	38.367646
asian	24	F	18	A00-B99	0.883541
asian	24	F	73	C00-D48	3.583251
asian	24	F	2	D50-D89	0.098171
asian	24	F	7	E00-E88	0.343599
asian	24	F	1	F01-F99	0.049086
asian	24	F	11	G00-G98	0.539942
asian	24	F	33	I00-I99	1.619826
asian	24	F	8	J00-J98	0.392685
asian	24	F	5	K00-K92	0.245428
asian	24	F	12	M00-M99	0.589028
asian	24	F	3	N00-N98	0.147257
